timestamp,date_iso,close,ret_1,ret_6,ret_18,log_ret_1,volatility_z20,rsi_14,macd,macd_signal,macd_hist,atr_14,bb_pctb,price_to_sma20,sma20_gt_sma50,ema12_gt_ema26,volume_z20,volume_change_pct,realized_vol_6,realized_vol_20,parkinson_vol_mean_6,cot_open_interest_z,cot_net_pct,cot_noncomm_long_pct,cot_net_change_1w,fear_greed,hashrate,stablecoin_total_cap,btc_dominance_pct,dvol_close,dvol_change_1,target_ret_6,target_ret_18,target_dir_6,target_dir_18,target_vol_regime_6
1502928000000,2017-08-17T00:00:00.000Z,4285.08,,,,,,,,,,,,,,,,,,,,,,,,,5984479839268637000,,,,,-0.039922241825123383,-0.04316605524284267,0,0,
1503014400000,2017-08-18T00:00:00.000Z,4108.37,-0.04123843662195337,,,-0.04211286548365428,,,,,,,,,,,,0.5090079797572677,,,,,,,,,8213374664464902000,,,,,0.05054072539717702,0.06282296871995463,1,1,
1503100800000,2017-08-19T00:00:00.000Z,4139.98,0.007694048978061696,,,0.007664600737572485,,,,,,,,,,,,-0.6822122738921963,,,,,,,,,6837701773949292000,,,,,0.03398567142836462,0.11589186421190467,1,1,
1503187200000,2017-08-20T00:00:00.000Z,4086.29,-0.012968661684355842,,,-0.013053488973030332,,,,,,,,,,,,0.22494377884575711,,,,,,,,,6917714373131641000,,,,,0.06146161921938953,0.14813437127565576,1,1,
1503273600000,2017-08-21T00:00:00.000Z,4016,-0.017201422317065118,,,-0.017351085545221176,,,,,,,,,,,,0.4809852369243255,,,,,,,,,6078904768808040000,,,,,0.07320966135458162,0.06643426294820731,1,1,
1503360000000,2017-08-22T00:00:00.000Z,4040,0.005976095617529875,,,0.005958309583630625,,,,,,,,,,,,0.3974623149815193,0.017132330400541386,,0.05371236095739038,,,,,,5226910803989212000,,,,,0.0858143564356435,0.05416089108910893,1,1,
1503446400000,2017-08-23T00:00:00.000Z,4114.01,0.018319306930693058,-0.039922241825123383,,0.018153529979108365,,,,,,,,,,,,0.03563902621923565,0.019967086314565768,,0.05324233600532966,,,,,,4049119465722555000,,,,,0.1150872263314866,0.003976655380030669,1,1,
1503532800000,2017-08-24T00:00:00.000Z,4316.01,0.049100512638520666,0.05054072539717702,,0.04793314240118538,,,,,,,,,,,,-0.21347518357797668,0.021554868439598678,,0.04959702112149183,,,,,,7312178724002649000,,,,,0.055405339653985974,-0.024916531704050726,1,0,
1503619200000,2017-08-25T00:00:00.000Z,4280.68,-0.008185801237717172,0.03398567142836462,,-0.008219488874826928,,,,,,,,,,,,-0.2715277127772444,0.022418342016301614,,0.046003364704594485,,,,,,4483884704408893000,,,,,0.10377089621275126,-0.027322761804199347,1,0,
1503705600000,2017-08-26T00:00:00.000Z,4337.44,0.013259575581449523,0.06146161921938953,,0.013172436845751336,,,,,,,,,,,,-0.6023308896521371,0.020863899561171736,,0.045276534102188314,,,,,,4557780960100646000,,,,,0.11469207643218127,-0.0905488029805599,1,0,
1503792000000,2017-08-27T00:00:00.000Z,4310.01,-0.006324006787413627,0.07320966135458162,,-0.006344088025697059,,,,,,,,,,,,0.5373966737555289,0.01876150561444462,,0.04273336954613011,,,,,,4546032355571338000,,,,,0.03761708209493708,-0.26008988378217224,1,0,
1503878400000,2017-08-28T00:00:00.000Z,4386.69,0.017791142015911587,0.0858143564356435,,0.017634732065271153,,,,,,,,,,,,0.7218545296587895,0.01866248034793406,,0.03034405927169323,,,,,,6819240773811217000,,,,,0.027900307521160572,-0.15653944089963034,1,0,
1503964800000,2017-08-29T00:00:00.000Z,4587.48,0.04577255288155757,0.1150872263314866,,0.04475589733430969,,,,,,,,,,,,-0.00049116853184894,0.022042614388613317,,0.031247905502601075,,,,,,5798619214427117000,,,,,-0.10623915526607197,-0.19019810440590468,0,0,
1504051200000,2017-08-30T00:00:00.000Z,4555.14,-0.007049622014700718,0.055405339653985974,,-0.007074588003020003,,,,,,284.0242857142858,,,,,,0.33953347885089347,0.01897715861767283,,0.029573522902079142,,,,,,6443796087790138000,,,,,-0.041419144087777804,-0.18773297856926474,0,0,
1504137600000,2017-08-31T00:00:00.000Z,4724.89,0.03726559447130051,0.10377089621275126,,0.036588014556291786,,67.85827398305986,,,,277.3282653061225,,,,,,-0.3110967028310855,0.019544334128206987,,0.028919629910981775,,,,,,7521291236823490000,,,,,-0.022248136993665457,-0.1460097483750945,0,0,
